gene_short_name	num_cells_expressed
DNAJC11	DNAJC11	7
RP11-242F24.1	RP11-242F24.1	0
RP11-312B8.1	RP11-312B8.1	0
CAMTA1	CAMTA1	54
RP11-334N17.1	RP11-334N17.1	0
RP3-453P22.2	RP3-453P22.2	0
RP4-549F15.1	RP4-549F15.1	0
RP11-338N10.1	RP11-338N10.1	0
RP11-338N10.2	RP11-338N10.2	0
RP11-338N10.3	RP11-338N10.3	0
VAMP3	VAMP3	16
PER3	PER3	2
RP3-467L1.4	RP3-467L1.4	1
UTS2	UTS2	0
TNFRSF9	TNFRSF9	0
PARK7	PARK7	249
ERRFI1	ERRFI1	0
RP11-431K24.1	RP11-431K24.1	0
RP11-431K24.3	RP11-431K24.3	0
RP11-431K24.4	RP11-431K24.4	0
SLC45A1	SLC45A1	1
RERE	RERE	15
RP5-1115A15.1	RP5-1115A15.1	0
RP4-633I8.4	RP4-633I8.4	0
ENO1	ENO1	275
ENO1-AS1	ENO1-AS1	2
CA6	CA6	4
SLC2A7	SLC2A7	0
SLC2A5	SLC2A5	0
GPR157	GPR157	2
RP3-510D11.1	RP3-510D11.1	0
RP3-510D11.2	RP3-510D11.2	0
H6PD	H6PD	5
SPSB1	SPSB1	2
RP13-392I16.1	RP13-392I16.1	0
SLC25A33	SLC25A33	19
TMEM201	TMEM201	0
PIK3CD	PIK3CD	36
C1orf200	C1orf200	1
RP11-558F24.4	RP11-558F24.4	0
CLSTN1	CLSTN1	28
CTNNBIP1	CTNNBIP1	11
RP11-84A14.5	RP11-84A14.5	0
LZIC	LZIC	24
NMNAT1	NMNAT1	4
RBP7	RBP7	0
UBE4B	UBE4B	10
KIF1B	KIF1B	3
PGD	PGD	16
RP4-736L20.3	RP4-736L20.3	0
APITD1	APITD1	12
APITD1-CORT	APITD1-CORT	1
CORT	CORT	0
DFFA	DFFA	11
RP5-1113E3.3	RP5-1113E3.3	0
PEX14	PEX14	7
CASZ1	CASZ1	0
RP4-734G22.3	RP4-734G22.3	0
C1orf127	C1orf127	0
TARDBP	TARDBP	22
MASP2	MASP2	0
RP4-635E18.8	RP4-635E18.8	2
SRM	SRM	98
EXOSC10	EXOSC10	12
RP4-635E18.7	RP4-635E18.7	0
RP4-635E18.6	RP4-635E18.6	0
MTOR	MTOR	8
MTOR-AS1	MTOR-AS1	0
ANGPTL7	ANGPTL7	0
UBIAD1	UBIAD1	30
PTCHD2	PTCHD2	0
RP1-69M21.2	RP1-69M21.2	0
FBXO2	FBXO2	7
FBXO44	FBXO44	19
FBXO6	FBXO6	9
MAD2L2	MAD2L2	31
DRAXIN	DRAXIN	0
AGTRAP	AGTRAP	30
C1orf167	C1orf167	0
RP11-56N19.5	RP11-56N19.5	0
MTHFR	MTHFR	8
CLCN6	CLCN6	2
NPPA-AS1	NPPA-AS1	0
NPPA	NPPA	0
NPPB	NPPB	0
KIAA2013	KIAA2013	6
PLOD1	PLOD1	0
MFN2	MFN2	4
MIIP	MIIP	44
TNFRSF8	TNFRSF8	1
TNFRSF1B	TNFRSF1B	16
VPS13D	VPS13D	9
RP5-888M10.2	RP5-888M10.2	0
DHRS3	DHRS3	2
RP11-474O21.5	RP11-474O21.5	0
AADACL4	AADACL4	0
AADACL3	AADACL3	0
C1orf158	C1orf158	0
PRAMEF12	PRAMEF12	0
PRAMEF1	PRAMEF1	0
RP5-845O24.8	RP5-845O24.8	0
PRAMEF11	PRAMEF11	0
HNRNPCL1	HNRNPCL1	0
PRAMEF2	PRAMEF2	0
PRAMEF4	PRAMEF4	0
PRAMEF10	PRAMEF10	0
PRAMEF7	PRAMEF7	0
PRAMEF6	PRAMEF6	0
PRAMEF22	PRAMEF22	0
WI2-3308P17.2	WI2-3308P17.2	0
RP13-221M14.2	RP13-221M14.2	0
PRAMEF26	PRAMEF26	0
PRAMEF3	PRAMEF3	0
PRAMEF5	PRAMEF5	0
PRAMEF8	PRAMEF8	0
PRAMEF9	PRAMEF9	0
RP11-219C24.10	RP11-219C24.10	0
PRAMEF13	PRAMEF13	0
PRAMEF18	PRAMEF18	0
PRAMEF16	PRAMEF16	0
PRAMEF21	PRAMEF21	0
PRAMEF15	PRAMEF15	0
PRAMEF14	PRAMEF14	0
PRAMEF19	PRAMEF19	0
PRAMEF17	PRAMEF17	0
PRAMEF20	PRAMEF20	0
LRRC38	LRRC38	0
RP4-597A16.2	RP4-597A16.2	0
PDPN	PDPN	0
CTA-520D8.2	CTA-520D8.2	0
PRDM2	PRDM2	39
RP11-344F13.1	RP11-344F13.1	0
RP4-704D23.1	RP4-704D23.1	0
KAZN	KAZN	0
TMEM51	TMEM51	0
C1orf195	C1orf195	0
FHAD1	FHAD1	0
RP3-467K16.2	RP3-467K16.2	0
RP3-467K16.7	RP3-467K16.7	0
RP3-467K16.4	RP3-467K16.4	0
EFHD2	EFHD2	25
CTRC	CTRC	0
CELA2A	CELA2A	1
CELA2B	CELA2B	0
CASP9	CASP9	4
DNAJC16	DNAJC16	2
RP4-680D5.8	RP4-680D5.8	0
AGMAT	AGMAT	11
RP4-680D5.2	RP4-680D5.2	0
DDI2	DDI2	4
RSC1A1	RSC1A1	0
RP4-680D5.9	RP4-680D5.9	0
PLEKHM2	PLEKHM2	7
RP11-288I21.1	RP11-288I21.1	0
SLC25A34	SLC25A34	1
RP11-169K16.4	RP11-169K16.4	0
TMEM82	TMEM82	0
FBLIM1	FBLIM1	0
RP11-169K16.9	RP11-169K16.9	38
SPEN	SPEN	10
ZBTB17	ZBTB17	9
C1orf64	C1orf64	0
RP11-5P18.5	RP11-5P18.5	0
HSPB7	HSPB7	0
CLCNKA	CLCNKA	0
CLCNKB	CLCNKB	0
FAM131C	FAM131C	0
EPHA2	EPHA2	0
RP11-276H7.2	RP11-276H7.2	0
RP11-276H7.3	RP11-276H7.3	0
ARHGEF19-AS1	ARHGEF19-AS1	0
ARHGEF19	ARHGEF19	9
C1orf134	C1orf134	0
RSG1	RSG1	0
FBXO42	FBXO42	6
SZRD1	SZRD1	45
SPATA21	SPATA21	0
NECAP2	NECAP2	121
RP4-798A10.2	RP4-798A10.2	0
RP4-798A10.7	RP4-798A10.7	0
RP4-798A10.4	RP4-798A10.4	0
U1	U1	0
FAM231B	FAM231B	0
NBPF1	NBPF1	8
RP5-1182A14.5	RP5-1182A14.5	0
CROCCP2	CROCCP2	24
FAM231A	FAM231A	0
FAM231C	FAM231C	0
CROCC	CROCC	6
RP11-108M9.1	RP11-108M9.1	0
RP11-108M9.2	RP11-108M9.2	0
U1.1	U1.1	0
RP11-108M9.4	RP11-108M9.4	15
RP11-108M9.6	RP11-108M9.6	8
MFAP2	MFAP2	0
RP1-37C10.3	RP1-37C10.3	0
ATP13A2	ATP13A2	6
SDHB	SDHB	77
PADI2	PADI2	0
RP11-380J14.1	RP11-380J14.1	0
PADI1	PADI1	0
PADI3	PADI3	0
PADI4	PADI4	11
AC004824.2	AC004824.2	0
RP1-20B21.4	RP1-20B21.4	0
RCC2	RCC2	10
ARHGEF10L	ARHGEF10L	0
RP11-473A10.2	RP11-473A10.2	0
ACTL8	ACTL8	0
RP11-174G17.2	RP11-174G17.2	0
IGSF21	IGSF21	0
RP11-174G17	RP11-174G17	0
RP11-422P22.1	RP11-422P22.1	0
KLHDC7A	KLHDC7A	0
PAX7	PAX7	0
TAS1R2	TAS1R2	0
RP13-279N23.2	RP13-279N23.2	0
ALDH4A1	ALDH4A1	0
IFFO2	IFFO2	3
UBR4	UBR4	22
RP1-43E13.2	RP1-43E13.2	3
EMC1	EMC1	4
MRTO4	MRTO4	27
AKR7A3	AKR7A3	0
AKR7A2	AKR7A2	68
PQLC2	PQLC2	4
CAPZB	CAPZB	287
RP5-1056L3.1	RP5-1056L3.1	0
MINOS1-NBL1	MINOS1-NBL1	1
MINOS1	MINOS1	131
NBL1	NBL1	0
HTR6	HTR6	0
TMCO4	TMCO4	8
RNF186	RNF186	0
RP11-91K11.2	RP11-91K11.2	0
OTUD3	OTUD3	5
PLA2G2E	PLA2G2E	0
PLA2G2A	PLA2G2A	0
PLA2G5	PLA2G5	0
PLA2G2D	PLA2G2D	2
PLA2G2F	PLA2G2F	0
RP3-340N1.2	RP3-340N1.2	0
PLA2G2C	PLA2G2C	1
UBXN10-AS1	UBXN10-AS1	2
UBXN10	UBXN10	1
RP3-340N1.6	RP3-340N1.6	0
VWA5B1	VWA5B1	0
RP4-745E8.2	RP4-745E8.2	1
LINC01141	LINC01141	0
RP4-749H3.2	RP4-749H3.2	0
CAMK2N1	CAMK2N1	1
MUL1	MUL1	11
FAM43B	FAM43B	0
CDA	CDA	0
PINK1	PINK1	2
PINK1-AS	PINK1-AS	3
DDOST	DDOST	80
KIF17	KIF17	0
SH2D5	SH2D5	0
RP5-930J4.2	RP5-930J4.2	0
HP1BP3	HP1BP3	77
RP5-930J4.4	RP5-930J4.4	0
EIF4G3	EIF4G3	11
ECE1	ECE1	12
RP3-329E20.2	RP3-329E20.2	0
RP5-1071N3.1	RP5-1071N3.1	1
RP11-293F5.1	RP11-293F5.1	0
NBPF3	NBPF3	2
ALPL	ALPL	0
RP11-63N8.3	RP11-63N8.3	0
RAP1GAP	RAP1GAP	0
USP48	USP48	17
LDLRAD2	LDLRAD2	0
HSPG2	HSPG2	1
CELA3B	CELA3B	0
CELA3A	CELA3A	0
RP1-224A6.3	RP1-224A6.3	0
LINC00339	LINC00339	6
CDC42	CDC42	94
RP1-224A6.9	RP1-224A6.9	0
WNT4	WNT4	0
ZBTB40	ZBTB40	3
EPHA8	EPHA8	0
C1QA	C1QA	0
C1QC	C1QC	0
C1QB	C1QB	0
EPHB2	EPHB2	0
RP11-69E9.1	RP11-69E9.1	0
RP1-74M1.3	RP1-74M1.3	0
LACTBL1	LACTBL1	0
C1orf234	C1orf234	0
KDM1A	KDM1A	13
RP1-184J9.2	RP1-184J9.2	0
LUZP1	LUZP1	12
HTR1D	HTR1D	0
RP5-1057J7.6	RP5-1057J7.6	0
HNRNPR	HNRNPR	80
ZNF436	ZNF436	0
C1orf213	C1orf213	3
RP5-1057J7.7	RP5-1057J7.7	0
TCEA3	TCEA3	20
ASAP3	ASAP3	0
E2F2	E2F2	1
RP1-150O5.3	RP1-150O5.3	0
ID3	ID3	59
MDS2	MDS2	23
RPL11	RPL11	799
TCEB3	TCEB3	28
RP5-886K2.3	RP5-886K2.3	9
PITHD1	PITHD1	58
LYPLA2	LYPLA2	66
GALE	GALE	4
HMGCL	HMGCL	19
FUCA1	FUCA1	7
CNR2	CNR2	18
RP11-4M23.3	RP11-4M23.3	0
PNRC2	PNRC2	1
SRSF10	SRSF10	11
RP11-293P20.2	RP11-293P20.2	0
MYOM3	MYOM3	0
RP11-293P20.4	RP11-293P20.4	0
IL22RA1	IL22RA1	0
IFNLR1	IFNLR1	0
RP11-10N16.2	RP11-10N16.2	0
RP11-10N16.3	RP11-10N16.3	0
GRHL3	GRHL3	0
STPG1	STPG1	2
NIPAL3	NIPAL3	8
RCAN3	RCAN3	57
RP4-594I10.3	RP4-594I10.3	1
NCMAP	NCMAP	0
SRRM1	SRRM1	126
CLIC4	CLIC4	9
RUNX3	RUNX3	21
RP11-84D1.1	RP11-84D1.1	0
RP11-84D1.2	RP11-84D1.2	0
RP4-799D16.1	RP4-799D16.1	0
RP4-706G24.1	RP4-706G24.1	0
SYF2	SYF2	184
C1orf63	C1orf63	108
RP3-465N24.6	RP3-465N24.6	4
RHD	RHD	0
TMEM50A	TMEM50A	121
RHCE	RHCE	0
TMEM57	TMEM57	13
LDLRAP1	LDLRAP1	66
RP11-70P17.1	RP11-70P17.1	3
MAN1C1	MAN1C1	3
RP1-187B23.1	RP1-187B23.1	0
SEPN1	SEPN1	4
RP1-317E23.6	RP1-317E23.6	0
RP1-317E23.3	RP1-317E23.3	0
MTFR1L	MTFR1L	21
AL020996.1	AL020996.1	0
RP1-317E23.7	RP1-317E23.7	0
AUNIP	AUNIP	1
RP1-125I3.2	RP1-125I3.2	0
PAQR7	PAQR7	0
STMN1	STMN1	38
PAFAH2	PAFAH2	4
EXTL1	EXTL1	0
SLC30A2	SLC30A2	0
TRIM63	TRIM63	0
PDIK1L	PDIK1L	1
FAM110D	FAM110D	0
ZNF593	ZNF593	48
RP11-96L14.7	RP11-96L14.7	0
CNKSR1	CNKSR1	0
CATSPER4	CATSPER4	0
CEP85	CEP85	1
SH3BGRL3	SH3BGRL3	603
UBXN11	UBXN11	28
CD52	CD52	737
AIM1L	AIM1L	1
ZNF683	ZNF683	5
LIN28A	LIN28A	0
DHDDS	DHDDS	3
RP3-476K8.3	RP3-476K8.3	0
HMGN2	HMGN2	37
RPS6KA1	RPS6KA1	35
RP5-968P14.2	RP5-968P14.2	0
ARID1A	ARID1A	21
PIGV	PIGV	5
ZDHHC18	ZDHHC18	3
SFN	SFN	0
RP1-50O24.6	RP1-50O24.6	0
GPN2	GPN2	6
GPATCH3	GPATCH3	11
NUDC	NUDC	129
NR0B2	NR0B2	0
C1orf172	C1orf172	7
TRNP1	TRNP1	0
FAM46B	FAM46B	0
SLC9A1	SLC9A1	1
RP11-40H20.4	RP11-40H20.4	0
WDTC1	WDTC1	7
TMEM222	TMEM222	47
SYTL1	SYTL1	110
MAP3K6	MAP3K6	3
FCN3	FCN3	0
CD164L2	CD164L2	0
GPR3	GPR3	0
WASF2	WASF2	68
RP4-752I6.1	RP4-752I6.1	0
RP1-159A19.4	RP1-159A19.4	1
AHDC1	AHDC1	0
FGR	FGR	37
RP11-288L9.1	RP11-288L9.1	0
IFI6	IFI6	44
RP11-288L9.4	RP11-288L9.4	0
FAM76A	FAM76A	6
STX12	STX12	13
PPP1R8	PPP1R8	23
AL109927.1	AL109927.1	0
THEMIS2	THEMIS2	19
RPA2	RPA2	64
SMPDL3B	SMPDL3B	0
RP11-460I13.2	RP11-460I13.2	0
XKR8	XKR8	7
EYA3	EYA3	5
PTAFR	PTAFR	1
DNAJC8	DNAJC8	94
AL353354.1	AL353354.1	0
AL353354.2	AL353354.2	0
ATPIF1	ATPIF1	216
RP5-1092A3.4	RP5-1092A3.4	3
RP5-1092A3.5	RP5-1092A3.5	0
SESN2	SESN2	2
MED18	MED18	5
PHACTR4	PHACTR4	8
RCC1	RCC1	11
TRNAU1AP	TRNAU1AP	23
SNHG12	SNHG12	46
TAF12	TAF12	52
RAB42	RAB42	0
RP11-442N24__B.1	RP11-442N24__B.1	1
RNU11	RNU11	0
GMEB1	GMEB1	8
YTHDF2	YTHDF2	46
OPRD1	OPRD1	0
RP1-212P9.2	RP1-212P9.2	0
RP1-212P9.3	RP1-212P9.3	0
EPB41	EPB41	30
TMEM200B	TMEM200B	0
RP11-242O24.3	RP11-242O24.3	0
SRSF4	SRSF4	66
RP11-242O24.5	RP11-242O24.5	1
MECR	MECR	13
RP11-467D18.2	RP11-467D18.2	0
PTPRU	PTPRU	0
RP3-437I16.1	RP3-437I16.1	0
RP4-656G21.1	RP4-656G21.1	0
RP11-111I12.1	RP11-111I12.1	0
RP5-893G23.1	RP5-893G23.1	0
RP4-591L5.1	RP4-591L5.1	0
RP4-591L5.2	RP4-591L5.2	0
MATN1	MATN1	1
MATN1-AS1	MATN1-AS1	9
LAPTM5	LAPTM5	466
RP5-1125N11.1	RP5-1125N11.1	0
RP1-65J11.1	RP1-65J11.1	0
RP1-65J11.5	RP1-65J11.5	0
SDC3	SDC3	0
PUM1	PUM1	10
NKAIN1	NKAIN1	0
SNRNP40	SNRNP40	35
ZCCHC17	ZCCHC17	31
RP11-266K22.2	RP11-266K22.2	0
FABP3	FABP3	0
SERINC2	SERINC2	0
AC114494.1	AC114494.1	0
RP11-439L8.3	RP11-439L8.3	0
RP11-439L8.4	RP11-439L8.4	0
RP11-73M7.1	RP11-73M7.1	0
TINAGL1	TINAGL1	0
HCRTR1	HCRTR1	0
PEF1	PEF1	46
RP11-73M7.6	RP11-73M7.6	0
RP11-73M7.9	RP11-73M7.9	0
COL16A1	COL16A1	0
BAI2	BAI2	0
RP11-84A19.3	RP11-84A19.3	0
SPOCD1	SPOCD1	0
RP11-84A19.2	RP11-84A19.2	0
RP11-84A19.4	RP11-84A19.4	0
PTP4A2	PTP4A2	110
AL136115.1	AL136115.1	0
RP4-534N18.2	RP4-534N18.2	0
KHDRBS1	KHDRBS1	109
RP11-277A4.4	RP11-277A4.4	0
TMEM39B	TMEM39B	20
KPNA6	KPNA6	14
TXLNA	TXLNA	7
CCDC28B	CCDC28B	29
RP4-622L5.7	RP4-622L5.7	0
IQCC	IQCC	3
DCDC2B	DCDC2B	0
TMEM234	TMEM234	8
EIF3I	EIF3I	168
FAM167B	FAM167B	0
LCK	LCK	194
HDAC1	HDAC1	74
MARCKSL1	MARCKSL1	136
RP4-811H24.9	RP4-811H24.9	0
TSSK3	TSSK3	0
FAM229A	FAM229A	2
BSDC1	BSDC1	36
RP1-27O5.3	RP1-27O5.3	0
ZBTB8B	ZBTB8B	0
ZBTB8A	ZBTB8A	0
ZBTB8OS	ZBTB8OS	28
RBBP4	RBBP4	46
SYNC	SYNC	2
RP11-114B7.6	RP11-114B7.6	0
KIAA1522	KIAA1522	0
YARS	YARS	18
S100PBP	S100PBP	7
FNDC5	FNDC5	0
HPCA	HPCA	0
TMEM54	TMEM54	0
RNF19B	RNF19B	1
FKSG48	FKSG48	0
RP1-117O3.2	RP1-117O3.2	0
AK2	AK2	55
ADC	ADC	2
TRIM62	TRIM62	3
ZNF362	ZNF362	0
RP11-415J8.7	RP11-415J8.7	0
A3GALT2	A3GALT2	0
RP11-415J8.3	RP11-415J8.3	0
PHC2	PHC2	0
RP11-415J8.5	RP11-415J8.5	0
ZSCAN20	ZSCAN20	0
CSMD2	CSMD2	0
HMGB4	HMGB4	0
RP5-1007G16.1	RP5-1007G16.1	0
C1orf94	C1orf94	0
SMIM12	SMIM12	56
GJB5	GJB5	0
GJB4	GJB4	0
RP1-34M23.5	RP1-34M23.5	0
GJB3	GJB3	0
GJA4	GJA4	0
RP5-997D16.2	RP5-997D16.2	0
DLGAP3	DLGAP3	5
RP11-244H3.4	RP11-244H3.4	7
ZMYM6NB	ZMYM6NB	0
ZMYM6	ZMYM6	4
ZMYM1	ZMYM1	3
SFPQ	SFPQ	78
ZMYM4	ZMYM4	9
ZMYM4-AS1	ZMYM4-AS1	0
KIAA0319L	KIAA0319L	9
NCDN	NCDN	5
RP4-728D4.2	RP4-728D4.2	19
TFAP2E	TFAP2E	0
PSMB2	PSMB2	72
C1orf216	C1orf216	2
CLSPN	CLSPN	0
RP11-435D7.3	RP11-435D7.3	0
AGO4	AGO4	2
AGO1	AGO1	6
RP4-789D17.5	RP4-789D17.5	1
AGO3	AGO3	9
RP4-665N4.8	RP4-665N4.8	0
TEKT2	TEKT2	0
ADPRHL2	ADPRHL2	11
COL8A2	COL8A2	0
TRAPPC3	TRAPPC3	89
MAP7D1	MAP7D1	42
THRAP3	THRAP3	82
SH3D21	SH3D21	2
EVA1B	EVA1B	2
RP11-268J15.5	RP11-268J15.5	0
STK40	STK40	7
LSM10	LSM10	164
OSCP1	OSCP1	1
MRPS15	MRPS15	59
CSF3R	CSF3R	0
RP4-614N24.1	RP4-614N24.1	0
GRIK3	GRIK3	0
RP5-1180C18.1	RP5-1180C18.1	0
LINC01137	LINC01137	3
ZC3H12A	ZC3H12A	16
MEAF6	MEAF6	118
SNIP1	SNIP1	0
DNALI1	DNALI1	0
GNL2	GNL2	15
RSPO1	RSPO1	0
C1orf109	C1orf109	15
CDCA8	CDCA8	1
EPHA10	EPHA10	0
MANEAL	MANEAL	0
RP11-109P14.9	RP11-109P14.9	0
YRDC	YRDC	24
C1orf122	C1orf122	46
MTF1	MTF1	4
AL929472.1	AL929472.1	0
RP11-109P14.10	RP11-109P14.10	0
INPP5B	INPP5B	2
SF3A3	SF3A3	42
FHL3	FHL3	11
UTP11L	UTP11L	12
POU3F1	POU3F1	0
RP5-884C9.2	RP5-884C9.2	0
RP11-214L19.1	RP11-214L19.1	0
RP11-329N22.1	RP11-329N22.1	0
RRAGC	RRAGC	22
RP5-864K19.4	RP5-864K19.4	2
MYCBP	MYCBP	10
GJA9	GJA9	0
RHBDL2	RHBDL2	0
AKIRIN1	AKIRIN1	53
NDUFS5	NDUFS5	199
MACF1	MACF1	21
RP11-420K8.1	RP11-420K8.1	0
KIAA0754	KIAA0754	0
BMP8A	BMP8A	0
RP11-69E11.4	RP11-69E11.4	2
PABPC4	PABPC4	51
RP11-69E11.8	RP11-69E11.8	0
HEYL	HEYL	0
RP1-144F13.3	RP1-144F13.3	0
NT5C1A	NT5C1A	0
HPCAL4	HPCAL4	1
PPIE	PPIE	61
BMP8B	BMP8B	0
OXCT2	OXCT2	0
RP1-118J21.25	RP1-118J21.25	0
TRIT1	TRIT1	6
MYCL	MYCL	0
RP1-118J21.5	RP1-118J21.5	0
MFSD2A	MFSD2A	0
CAP1	CAP1	179
PPT1	PPT1	53
RLF	RLF	4
TMCO2	TMCO2	0
RP1-39G22.7	RP1-39G22.7	11
ZMPSTE24	ZMPSTE24	4
COL9A2	COL9A2	6
SMAP2	SMAP2	73
ZFP69B	ZFP69B	0
ZFP69	ZFP69	4
RP11-656D10.3	RP11-656D10.3	0
EXO5	EXO5	4
RP11-656D10.5	RP11-656D10.5	0
RP11-656D10.6	RP11-656D10.6	0
ZNF684	ZNF684	4
RIMS3	RIMS3	1
RP4-739H11.3	RP4-739H11.3	0
NFYC-AS1	NFYC-AS1	3
